AOI,Claro Mean,Claro Std,Claro Max,Claro Min,Claro Count,Oscuro Mean,Oscuro Std,Oscuro Max,Oscuro Min,Oscuro Count,T-stat,P-value,Significant
con,1.00,0.00,1.00,1.00,10,1.12,0.33,2.00,1.00,8,-1.0000,0.3506,No
el,1.00,0.00,1.00,1.00,2,1.00,0.00,1.00,1.00,1,nan,nan,No
en,1.05,0.22,2.00,1.00,20,1.06,0.24,2.00,1.00,16,-0.1562,0.8769,No
hay,1.17,0.37,2.00,1.00,12,1.14,0.35,2.00,1.00,7,0.1310,0.8978,No
la,1.15,0.36,2.00,1.00,13,1.00,0.00,1.00,1.00,14,1.4771,0.1654,No
para,1.23,0.58,3.00,1.00,13,1.44,0.68,3.00,1.00,9,-0.7275,0.4780,No
que,1.20,0.40,2.00,1.00,5,1.00,0.00,1.00,1.00,2,1.0000,0.3739,No
tiempo,1.36,0.48,2.00,1.00,11,1.25,0.43,2.00,1.00,12,0.5669,0.5771,No
una,1.24,0.42,2.00,1.00,17,1.16,0.36,2.00,1.00,19,0.5670,0.5747,No
y,1.00,0.00,1.00,1.00,2,1.00,0.00,1.00,1.00,1,nan,nan,No
a,1.00,0.00,1.00,1.00,5,1.00,0.00,1.00,1.00,6,nan,nan,No
Para,1.00,0.00,1.00,1.00,8,1.14,0.35,2.00,1.00,7,-1.0000,0.3559,No
Este,1.12,0.33,2.00,1.00,8,1.14,0.35,2.00,1.00,7,-0.0941,0.9265,No
experimento,1.83,0.90,4.00,1.00,12,1.33,0.47,2.00,1.00,12,1.6357,0.1207,No
va,1.00,0.00,1.00,1.00,4,1.33,0.47,2.00,1.00,3,-1.0000,0.4226,No
consistir,1.86,0.99,4.00,1.00,14,1.40,0.49,2.00,1.00,10,1.4312,0.1677,No
leer,1.38,0.62,3.00,1.00,13,1.00,0.00,1.00,1.00,8,2.1320,0.0544,No
dos,1.00,0.00,1.00,1.00,7,1.17,0.37,2.00,1.00,6,-1.0000,0.3632,No
textos,1.38,0.62,3.00,1.00,13,1.25,0.66,3.00,1.00,8,0.4366,0.6690,No
posteriormente,1.80,0.91,4.00,1.00,15,2.00,1.41,6.00,1.00,12,-0.4075,0.6885,No
contestar,1.21,0.41,2.00,1.00,14,1.29,0.59,3.00,1.00,14,-0.3588,0.7230,No
unas,1.20,0.40,2.00,1.00,10,1.15,0.36,2.00,1.00,13,0.2728,0.7881,No
preguntas,1.15,0.36,2.00,1.00,13,1.07,0.25,2.00,1.00,15,0.7050,0.4886,No
relacionadas,1.67,0.87,4.00,1.00,15,1.62,0.78,3.00,1.00,16,0.1355,0.8932,No
ellos.,1.33,0.47,2.00,1.00,3,1.14,0.35,2.00,1.00,7,0.5252,0.6385,No
No,1.50,0.50,2.00,1.00,2,1.00,0.00,1.00,1.00,4,1.0000,0.5000,No
límite,1.08,0.28,2.00,1.00,12,1.29,0.45,2.00,1.00,7,-1.0000,0.3449,No
cada,1.40,0.80,4.00,1.00,15,1.45,0.78,3.00,1.00,11,-0.1669,0.8690,No
pantalla,,1.50,1.05,5.00,1.00,14,1.08,0.27,2.00,1.00,13,1.4019,0.1816,No
cuando,1.24,0.42,2.00,1.00,17,1.50,0.63,3.00,1.00,14,-1.2999,0.2071,No
consideres,1.88,1.02,4.00,1.00,17,1.53,0.62,3.00,1.00,15,1.1469,0.2616,No
has,1.15,0.36,2.00,1.00,13,1.00,0.00,1.00,1.00,11,1.4771,0.1654,No
leido,,1.42,0.76,3.00,1.00,12,1.08,0.28,2.00,1.00,12,1.3683,0.1930,No
haz,1.05,0.21,2.00,1.00,21,1.00,0.00,1.00,1.00,14,1.0000,0.3293,No
click,1.20,0.51,3.00,1.00,20,1.17,0.37,2.00,1.00,24,0.2374,0.8138,No
tecla,1.00,0.00,1.00,1.00,12,1.25,0.43,2.00,1.00,12,-1.9149,0.0819,No
pasarás,1.20,0.40,2.00,1.00,15,1.44,0.61,3.00,1.00,16,-1.2488,0.2228,No
siguiente.,1.09,0.29,2.00,1.00,11,1.09,0.29,2.00,1.00,11,0.0000,1.0000,No
comenzar,1.43,0.49,2.00,1.00,14,1.36,0.81,4.00,1.00,14,0.2710,0.7890,No
experimento,,1.40,0.61,3.00,1.00,15,1.33,0.60,3.00,1.00,15,0.2922,0.7723,No
tecla.,1.12,0.33,2.00,1.00,8,1.12,0.33,2.00,1.00,8,0.0000,1.0000,No
